transaction_id,transaction_date,value_date,description,reference_number,debit,credit,balance,counterparty_name
TXN7740021,2026-07-04,2026-07-04,NEFT CR-PAYNOVA SETTLEMENT,UTR2026070312094471,,9199.26,461517.86,PayNova Payment Solutions
TXN7740088,2026-07-05,2026-07-05,NEFT CR-PAYNOVA SETTLEMENT,UTR2026070412094502,,3344.25,464862.11,PayNova Payment Solutions
TXN7741190,2026-07-11,2026-07-11,NEFT CR-PAYNOVA SETTLEMENT,UTR2026070912095981,,17122.56,481984.67,PayNova Payment Solutions
TXN7741244,2026-07-12,2026-07-12,NEFT CR-PAYNOVA SETTLEMENT,UTR2026071012096140,,2160.9,484145.57,PayNova Payment Solutions
TXN7742901,2026-07-18,2026-07-18,NEFT CR-PAYNOVA SETTLEMENT,UTR2026071612098765,,7408.8,491554.37,PayNova Payment Solutions
TXN7742918,2026-07-19,2026-07-19,NEFT CR-PAYNOVA SETTLEMENT,UTR2026071712098842,,4321.8,495876.17,PayNova Payment Solutions
TXN7740355,2026-07-08,2026-07-08,NEFT CR-BAZAARLY MKTPL SETTLEMENT,UTR2026070620044119,,16432.0,512308.17,Bazaarly Online Pvt Ltd
TXN7740621,2026-07-11,2026-07-11,NEFT CR-BAZAARLY MKTPL SETTLEMENT,UTR2026070820044387,,13588.0,525896.17,Bazaarly Online Pvt Ltd
TXN7741620,2026-07-16,2026-07-16,NEFT CR-SHOPKARMA SETTLEMENT,UTR2026071230071254,,21979.52,547875.69,ShopKarma Retail Tech Pvt Ltd
TXN7741788,2026-07-16,2026-07-16,NEFT CR-SHOPKARMA SETTLEMENT,UTR2026071430071509,,11958.8,559834.49,ShopKarma Retail Tech Pvt Ltd
TXN7741955,2026-07-18,2026-07-18,NEFT CR-SHOPKARMA SETTLEMENT,UTR2026071630071822,,4695.6,564530.09,ShopKarma Retail Tech Pvt Ltd
TXN7743301,2026-07-24,2026-07-24,NEFT CR-VYAPAAR MART SETTLEMENT,UTR2026072140155031,,11496.0,576026.09,Vyapaar Mart Commerce Ltd
TXN7743190,2026-07-21,2026-07-21,NEFT CR-VYAPAAR MART SETTLEMENT,UTR2026072040154890,,7344.4,583370.49,Vyapaar Mart Commerce Ltd
TXN7743899,2026-07-28,2026-07-29,NEFT CR-VYAPAAR MART SETTLEMENT,UTR2026072740155600,,17946.94,601317.43,Vyapaar Mart Commerce Ltd
TXN7743760,2026-07-27,2026-07-27,NEFT CR-VYAPAAR MART SETTLEMENT,UTR2026072640155498,,10903.2,612220.63,Vyapaar Mart Commerce Ltd
TXN7743812,2026-07-28,2026-07-28,NEFT CR-VYAPAAR MART SETTLEMENT,UTR2026072740155501,,10903.2,623123.83,Vyapaar Mart Commerce Ltd
TXN7742460,2026-07-17,2026-07-17,NEFT CR-MKTPL INCENTIVE PAYOUT,REF-INCT-207731,6200.0,,616923.83,Bazaarly Online Pvt Ltd
TXN7740512,2026-07-07,2026-07-07,MAB CHARGES-JUL26,,354.2,,616569.63,HDFC Bank Ltd
TXN7742015,2026-07-15,2026-07-15,TDS PAYMENT NSDL CHALLAN,CHLN29004471,18240.0,,598329.63,NSDL - Income Tax Dept
TXN7742588,2026-07-19,2026-07-19,NEFT DR-LOGISTICS PARTNER,REF-LOG-88213,9450.0,,588879.63,Swiftroute Logistics Pvt Ltd
TXN7744001,2026-07-30,2026-07-30,INT CR-SAVINGS A/C,,,142.55,589022.18,HDFC Bank Ltd
