settlement_id,settlement_date,marketplace,gross_sales,commission_fee,payment_fee,refund_amount,other_adjustments,payout_amount,bank_reference
STLM-20260703-101,2026-07-03,Zylora Direct (PayNova Gateway),9387.0,0.0,187.74,0.0,0.0,9199.26,UTR2026070312094471
STLM-20260704-102,2026-07-04,Zylora Direct (PayNova Gateway),3412.5,0.0,68.25,0.0,0.0,3344.25,UTR2026070412094502
STLM-20260709-103,2026-07-09,Zylora Direct (PayNova Gateway),17472.0,0.0,349.44,0.0,0.0,17122.56,UTR2026070912095981
STLM-20260710-104,2026-07-10,Zylora Direct (PayNova Gateway),2205.0,0.0,44.1,0.0,0.0,2160.9,UTR2026071012096140
STLM-20260716-105,2026-07-16,Zylora Direct (PayNova Gateway),7560.0,0.0,151.2,0.0,0.0,7408.8,UTR2026071612098765
STLM-20260717-106,2026-07-17,Zylora Direct (PayNova Gateway),4410.0,0.0,88.2,0.0,0.0,4321.8,UTR2026071712098842
STLM-20260706-201,2026-07-06,Bazaarly,18750.0,1875.0,443.0,0.0,0.0,16432.0,UTR2026070620044119
STLM-20260708-202,2026-07-08,Bazaarly,15800.0,1896.0,316.0,0.0,0.0,13588.0,UTR2026070820044387
STLM-20260712-301,2026-07-12,ShopKarma,27860.0,4179.0,501.48,1200.0,0.0,21979.52,UTR2026071230071254
STLM-20260714-302,2026-07-14,ShopKarma,13760.0,1376.0,275.2,0.0,-150.0,11958.8,UTR2026071430071509
STLM-20260716-303,2026-07-16,ShopKarma,5460.0,655.2,109.2,0.0,0.0,4695.6,UTR2026071630071822
STLM-20260721-401,2026-07-21,Vyapaar Mart,14220.0,2559.6,284.4,0.0,120.0,11496.0,UTR2026072140155031
STLM-20260720-402,2026-07-20,Vyapaar Mart,8540.0,1024.8,170.8,0.0,0.0,7344.4,UTR2026072040154890
STLM-20260727-403,2026-07-27,Vyapaar Mart,21340.0,2987.6,405.46,0.0,0.0,17946.94,UTR2026072740155600
STLM-20260726-404,2026-07-26,Vyapaar Mart,12980.0,1817.2,259.6,0.0,0.0,10903.2,UTR2026072640155498
STLM-20260727-405,2026-07-27,Vyapaar Mart,12980.0,1817.2,259.6,0.0,0.0,10903.2,UTR2026072740155501
